,id_store_img_1,id_store_img_2,id_store_img_3,id_store,store_name,address_x,id,address_y,category,muslim_friendly,tel,working_time,day_closed,parking,attractions,active,image0,image1,image2,
94,70,71,72,95,두르가 본점,서울특별시 종로구 청진동 146,,,인도음식,무슬림 프렌들리,02-733-4786,11:00-21:30,연중무휴,O,"광화문광장, 인사동, 청계천",1,https://media-cdn.tripadvisor.com/media/photo-s/06/75/af/8d/durga-main.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/16/a8/d8/caption.jpg,https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23524&fileTy=MEDIA&fileNo=1&thumbTy=L,"INSERT INTO store_image_temp VALUES ('70','95','https://media-cdn.tripadvisor.com/media/photo-s/06/75/af/8d/durga-main.jpg','1'),('71','95','https://media-cdn.tripadvisor.com/media/photo-s/0a/16/a8/d8/caption.jpg','1'),('72','95','https://korean.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=23524&fileTy=MEDIA&fileNo=1&thumbTy=L','1');"
95,73,74,75,96,두르가 여의도점,서울특별시 영등포구 여의도동 26-1,,,인도음식,무슬림 프렌들리,02-785-4786,10:30-22:00,연중무휴,O,"여의도 한강공원, 63 스퀘어",1,https://mblogthumb-phinf.pstatic.net/MjAxOTA5MjNfMTQ4/MDAxNTY5MjQ5ODU4NTM5.Pw3M8vxMMpXcMEA11iZ3sITEjWUDDUOJy9Vo8f2ZmSIg.0lPZOoXt51rO6c5mTCJoXwMl7HMJvuG39J_GyNGb0OYg.JPEG.granado92/001.jpg?type=w800,https://t1.daumcdn.net/cfile/tistory/99B919375B75284B29,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8EoiBDTPv7uRTyr1NnBrEWiwubzqFq7RTXRiN7Ud3qjFvttzUepUhlHbOJbH8EXvAMv0&usqp=CAU,"INSERT INTO store_image_temp VALUES ('73','96','https://mblogthumb-phinf.pstatic.net/MjAxOTA5MjNfMTQ4/MDAxNTY5MjQ5ODU4NTM5.Pw3M8vxMMpXcMEA11iZ3sITEjWUDDUOJy9Vo8f2ZmSIg.0lPZOoXt51rO6c5mTCJoXwMl7HMJvuG39J_GyNGb0OYg.JPEG.granado92/001.jpg?type=w800','1'),('74','96','https://t1.daumcdn.net/cfile/tistory/99B919375B75284B29','1'),('75','96','https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8EoiBDTPv7uRTyr1NnBrEWiwubzqFq7RTXRiN7Ud3qjFvttzUepUhlHbOJbH8EXvAMv0&usqp=CAU','1');"
96,76,77,78,97,베나레스 본점,서울특별시 성북구 안암동5가 102-59,,,인도음식,무슬림 프렌들리,02-921-9982,11:00-21:30(브레이크 타임 16:00-17:00),연중무휴,O,"세종대왕기념관, 서울 정릉",1,https://media-cdn.tripadvisor.com/media/photo-s/19/83/0f/0a/signature-set-salad-cream.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210115090506768_photo_e7dbf6690af0.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0d/15/fc/a1/20160913-174407-largejpg.jpg,"INSERT INTO store_image_temp VALUES ('76','97','https://media-cdn.tripadvisor.com/media/photo-s/19/83/0f/0a/signature-set-salad-cream.jpg','1'),('77','97','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210115090506768_photo_e7dbf6690af0.jpg','1'),('78','97','https://media-cdn.tripadvisor.com/media/photo-s/0d/15/fc/a1/20160913-174407-largejpg.jpg','1');"
97,79,80,81,98,베나레스 경희대점,서울특별시 동대문구 회기동 16-36 유경빌딩,,,인도음식,무슬림 프렌들리,02-968-9982,11:00-~21:30(브레이크 타임 16:00-~17:00-),연중무휴,X,"세종대왕기념관, 홍릉수목원",1,https://mblogthumb-phinf.pstatic.net/MjAxODA2MDZfMjky/MDAxNTI4Mjg3MTM4MzA1.3tMPI7YxIP7jp7yR7pBjA8Cnx-knHHpL6P6KO1BIbcog.ayFM2EHTtjiP-Q5yJf39kUc7oRKCYy5PyvX7BfpbProg.JPEG.ojhhny/image_1503578701528280782730.jpg?type=w800,https://mblogthumb-phinf.pstatic.net/MjAxOTExMjVfMjAg/MDAxNTc0NjkwNzg3OTI2.gt_rC_ffaCri918NwYHKYN3zMfUDjwOPVkyJUBNUYK0g.XxRy9LtoZD8UISOemIQZXx8IdozTa2Rc07RMln0TnH4g.JPEG.hwc0605/%EB%B2%A0%EB%82%98%EB%A0%88%EC%8A%A4-1.jpg?type=w800,https://mblogthumb-phinf.pstatic.net/MjAxODA2MDZfMzMg/MDAxNTI4Mjg3MTU3ODk4.RXAYSaFOmD-xbkdUEdyzLLF73QGWnJogNiPqTWfr2hwg.LT-TvWpA4F447dTdI-nVyuZPXiPSbY4kmyHpGwtSbqAg.JPEG.ojhhny/image_9161965741528280782733.jpg?type=w800,"INSERT INTO store_image_temp VALUES ('79','98','https://mblogthumb-phinf.pstatic.net/MjAxODA2MDZfMjky/MDAxNTI4Mjg3MTM4MzA1.3tMPI7YxIP7jp7yR7pBjA8Cnx-knHHpL6P6KO1BIbcog.ayFM2EHTtjiP-Q5yJf39kUc7oRKCYy5PyvX7BfpbProg.JPEG.ojhhny/image_1503578701528280782730.jpg?type=w800','1'),('80','98','https://mblogthumb-phinf.pstatic.net/MjAxOTExMjVfMjAg/MDAxNTc0NjkwNzg3OTI2.gt_rC_ffaCri918NwYHKYN3zMfUDjwOPVkyJUBNUYK0g.XxRy9LtoZD8UISOemIQZXx8IdozTa2Rc07RMln0TnH4g.JPEG.hwc0605/%EB%B2%A0%EB%82%98%EB%A0%88%EC%8A%A4-1.jpg?type=w800','1'),('81','98','https://mblogthumb-phinf.pstatic.net/MjAxODA2MDZfMzMg/MDAxNTI4Mjg3MTU3ODk4.RXAYSaFOmD-xbkdUEdyzLLF73QGWnJogNiPqTWfr2hwg.LT-TvWpA4F447dTdI-nVyuZPXiPSbY4kmyHpGwtSbqAg.JPEG.ojhhny/image_9161965741528280782733.jpg?type=w800','1');"
98,82,83,84,99,베나레스 구로디지털점,서울 구로구 디지털로32길 79 ,,,인도음식,무슬림 프렌들리,02-863-9982,"11:00-21:30(브레이크 타임 16:00-17:00, 주말에는 브레이크 타임 없음)",명절 연휴,O,보라매공원,1,https://t1.daumcdn.net/cfile/tistory/9906F13F5B628FD926,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/pre_20181122125209045_menu0_d5da4c767c0f.jpg,https://www.menupan.com/Restaurant/Gomenupan/img/T168138/top.jpg,"INSERT INTO store_image_temp VALUES ('82','99','https://t1.daumcdn.net/cfile/tistory/9906F13F5B628FD926','1'),('83','99','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/pre_20181122125209045_menu0_d5da4c767c0f.jpg','1'),('84','99','https://www.menupan.com/Restaurant/Gomenupan/img/T168138/top.jpg','1');"
99,85,86,87,100,비나 레스토랑 2호점,서울특별시 성북구 안암동5가 102-4,,,인도음식,무슬림 프렌들리,02-928-5860,11:00-21:00,매주 월요일,O,"세종대왕기념관, 서울 정릉",1,https://mblogthumb-phinf.pstatic.net/MjAyMDA2MDJfMTY2/MDAxNTkxMDczNTc1NDY3.wPCCtTWsIEgGGL8LLq07Us28F6L8jT6TAUSC8JvYpswg.shis8WgOwhYXij1R-Qxx3bR6ZFw9HgJU99V4wd2o6gMg.JPEG.commetoi-/SE-034ad75e-bb6a-4cbb-8a6d-5ce5a30a9d60.jpg?type=w800,https://mblogthumb-phinf.pstatic.net/MjAyMDA2MDJfMTM1/MDAxNTkxMDczNTc4MTU1.lTMSwzeJeE0IHDAAvtqUkyKaS0fQ6dZPwPNfqVPuBKEg.wdX4LXvOynG3owJiE0B1mEHnMtRAKS--xzOYxDZzdxMg.JPEG.commetoi-/SE-171a0f70-63d1-424a-8785-40392dd42261.jpg?type=w800,https://blog.kakaocdn.net/dn/wSW71/btqXHgzkfRh/JqVNtF51q3PorPOtiQiFrk/img.png,"INSERT INTO store_image_temp VALUES ('85','100','https://mblogthumb-phinf.pstatic.net/MjAyMDA2MDJfMTY2/MDAxNTkxMDczNTc1NDY3.wPCCtTWsIEgGGL8LLq07Us28F6L8jT6TAUSC8JvYpswg.shis8WgOwhYXij1R-Qxx3bR6ZFw9HgJU99V4wd2o6gMg.JPEG.commetoi-/SE-034ad75e-bb6a-4cbb-8a6d-5ce5a30a9d60.jpg?type=w800','1'),('86','100','https://mblogthumb-phinf.pstatic.net/MjAyMDA2MDJfMTM1/MDAxNTkxMDczNTc4MTU1.lTMSwzeJeE0IHDAAvtqUkyKaS0fQ6dZPwPNfqVPuBKEg.wdX4LXvOynG3owJiE0B1mEHnMtRAKS--xzOYxDZzdxMg.JPEG.commetoi-/SE-171a0f70-63d1-424a-8785-40392dd42261.jpg?type=w800','1'),('87','100','https://blog.kakaocdn.net/dn/wSW71/btqXHgzkfRh/JqVNtF51q3PorPOtiQiFrk/img.png','1');"
100,88,89,90,101,비나 레스토랑 1호점,서울특별시 동대문구 제기동 137-41,,,인도음식,무슬림 프렌들리,02-926-5860,11:00-21:00,,O,"세종대왕기념관, 서울 정릉",1,"https://mp-seoul-image-production-s3.mangoplate.com/402421/1544925_1603686710266_28719?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",https://blog.kakaocdn.net/dn/bkCLvA/btqXN9lnzaS/NKoXwRnveR7OMtzyJnpKa0/img.png,"https://mp-seoul-image-production-s3.mangoplate.com/402421/1544925_1603686710267_28717?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80","INSERT INTO store_image_temp VALUES ('88','101','https://mp-seoul-image-production-s3.mangoplate.com/402421/1544925_1603686710266_28719?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80','1'),('89','101','https://blog.kakaocdn.net/dn/bkCLvA/btqXN9lnzaS/NKoXwRnveR7OMtzyJnpKa0/img.png','1'),('90','101','https://mp-seoul-image-production-s3.mangoplate.com/402421/1544925_1603686710267_28717?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80','1');"
101,91,92,93,102,탄두리카,서울특별시 관악구 신림동 1517-19,413859,서울특별시 강남구 삼성동 118-7,인도음식,무슬림 프렌들리,02-877-3464,10:30-22:00,,X,관악산 낙성대공원,1,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200512094732341_photo_7d5259708a81.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200513063211272_photo_89265237b4b8.jpg,https://fastly.4sqi.net/img/general/600x600/8744718_JkKFwybxyCg69FYtNWesGLVr2qIuKqlie0fnMNqCFlM.jpg,"INSERT INTO store_image_temp VALUES ('91','102','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200512094732341_photo_7d5259708a81.jpg','1'),('92','102','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200513063211272_photo_89265237b4b8.jpg','1'),('93','102','https://fastly.4sqi.net/img/general/600x600/8744718_JkKFwybxyCg69FYtNWesGLVr2qIuKqlie0fnMNqCFlM.jpg','1');"
102,94,95,96,103,채근담,서울특별시 강남구 대치동 983 태범빌딩,373452,서울시 강남구 대치동 983,한식,무슬림 프렌들리,02-555-9173,11:30-20:30(브레이크 타임 14:30-17:30),명절,O,"봉은사, 코엑스, 선정릉",1,https://media-cdn.tripadvisor.com/media/photo-s/0e/c6/09/0c/if-it-s-not-the-best.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20170730080743_photo1_081a9d78284b.jpg,https://media-cdn.tripadvisor.com/media/photo-s/07/97/1c/d3/chaegundaam.jpg,"INSERT INTO store_image_temp VALUES ('94','103','https://media-cdn.tripadvisor.com/media/photo-s/0e/c6/09/0c/if-it-s-not-the-best.jpg','1'),('95','103','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20170730080743_photo1_081a9d78284b.jpg','1'),('96','103','https://media-cdn.tripadvisor.com/media/photo-s/07/97/1c/d3/chaegundaam.jpg','1');"
103,97,98,99,104,술탄케밥,서울특별시 용산구 이태원동 127-28,,,터키음식,할랄 공식 인증,02-749-3890,"11:00-24:00 일-목요일, 11:00-02:00 금-토요일",연중무휴,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=6533&fileTy=MEDIA&fileNo=1&thumbTy=L,https://t1.daumcdn.net/cfile/tistory/99DB903E5B06497906,https://media-cdn.tripadvisor.com/media/photo-s/09/9f/1c/4a/caption.jpg,"INSERT INTO store_image_temp VALUES ('97','104','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=6533&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('98','104','https://t1.daumcdn.net/cfile/tistory/99DB903E5B06497906','1'),('99','104','https://media-cdn.tripadvisor.com/media/photo-s/09/9f/1c/4a/caption.jpg','1');"
104,100,101,102,105,루나아시아,서울특별시 강남구 삼성동 152-62 명당빌딩,123857,서울특별시 강남구 삼성동 152-62,인도음식,무슬림 프렌들리,02-562-7992,"주중(월-금요일) 10:30-22:00(브레이크 타임 15:00-17:00), 주말(토-일요일) 12:00-21:30",,O,"봉은사, 코엑스, 선정릉",1,https://media-cdn.tripadvisor.com/media/photo-s/05/6d/fc/44/luna-aisa-indian-restaurant.jpg,https://media-cdn.tripadvisor.com/media/photo-s/03/91/30/b8/luna-aisa-indian-restaurant.jpg,https://blog.kakaocdn.net/dn/dlcF9J/btqQ0PUxmFJ/TKInS46WT5WYVDp4LFP8a1/img.jpg,"INSERT INTO store_image_temp VALUES ('100','105','https://media-cdn.tripadvisor.com/media/photo-s/05/6d/fc/44/luna-aisa-indian-restaurant.jpg','1'),('101','105','https://media-cdn.tripadvisor.com/media/photo-s/03/91/30/b8/luna-aisa-indian-restaurant.jpg','1'),('102','105','https://blog.kakaocdn.net/dn/dlcF9J/btqQ0PUxmFJ/TKInS46WT5WYVDp4LFP8a1/img.jpg','1');"
105,103,104,105,106,아건 레스토랑,서울특별시 서대문구 대현동 90-22 한빛슈테리움1차,258479,서울특별시 서대문구 대현동 56-51 2층,인도음식,무슬림 프렌들리,02-364-8771,11:00-22:00,,X,서대문독립공원,1,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210318041915397_photo_40db864afe4c.jpg,https://media-cdn.tripadvisor.com/media/photo-p/14/c2/4c/d3/aangan-is-very-beautiful.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210318041919310_photo_40db864afe4c.jpg,"INSERT INTO store_image_temp VALUES ('103','106','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210318041915397_photo_40db864afe4c.jpg','1'),('104','106','https://media-cdn.tripadvisor.com/media/photo-p/14/c2/4c/d3/aangan-is-very-beautiful.jpg','1'),('105','106','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20210318041919310_photo_40db864afe4c.jpg','1');"
106,106,107,108,107,오세계향,서울특별시 종로구 관훈동 59,293929,서울시 종로구 관훈동 59,한식,무슬림 프렌들리,02-735-7171,11:30-21:00(브레이크 타임 15:00-17:00),,X,"북촌한옥마을, 인사동",1,https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=2055&fileTy=MEDIA&fileNo=1&thumbTy=L,https://media-cdn.tripadvisor.com/media/photo-s/11/33/30/b5/photo2jpg.jpg,https://images.happycow.net/venues/1024/10/86/hcmp10860_525628.jpeg,"INSERT INTO store_image_temp VALUES ('106','107','https://english.visitseoul.net/comm/getImage?srvcId=MEDIA&parentSn=2055&fileTy=MEDIA&fileNo=1&thumbTy=L','1'),('107','107','https://media-cdn.tripadvisor.com/media/photo-s/11/33/30/b5/photo2jpg.jpg','1'),('108','107','https://images.happycow.net/venues/1024/10/86/hcmp10860_525628.jpeg','1');"
107,109,110,111,108,쌀람,서울특별시 용산구 한남동 732-21,,,터키음식,무슬림 자가 인증,02-793-4323,12:00-22:00,매주 월요일,O,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/08/71/f4/14/menu.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0e/f1/cc/90/caption.jpg,http://weekly.chosun.com/up_fd/wc_News/2228/limg_org/2228_152_05.jpg,"INSERT INTO store_image_temp VALUES ('109','108','https://media-cdn.tripadvisor.com/media/photo-s/08/71/f4/14/menu.jpg','1'),('110','108','https://media-cdn.tripadvisor.com/media/photo-s/0e/f1/cc/90/caption.jpg','1'),('111','108','http://weekly.chosun.com/up_fd/wc_News/2228/limg_org/2228_152_05.jpg','1');"
108,112,113,114,109,선사복집,서울특별시 강동구 암사동 504-38,220846,서울특별시 강동구 암사2동 504-38,일식,무슬림 프렌들리,02-3426-8819,10:00-23:00,연중무휴,O,서울암사동유적,1,https://mblogthumb-phinf.pstatic.net/MjAxNzEwMjBfMTU3/MDAxNTA4NDU1NzQ2OTEz.vpHTz5HlOPIZ63f4pVt3O2J23Yje1CSMdAdzyjZR-Gcg.W6PGcM5icSJk_xcvXeN7FFnzfZTDwRURUpnkMNLm9OUg.JPEG.wkdgytjs98/image_1490429261508455279715.jpg?type=w800,https://mblogthumb-phinf.pstatic.net/MjAxNzEwMjBfNDAg/MDAxNTA4NDU1NzQzNDA4.mnLrMIFA9YznLsJ8td4jSq6-sIg4lQd63yPJynk9I-Yg.VZ_hHoOKhAojE6VuohqEwMR2hmomCe6D8YM5h2STPUgg.JPEG.wkdgytjs98/image_7001098191508455279716.jpg?type=w800,https://media-cdn.tripadvisor.com/media/photo-s/11/bb/24/00/inside.jpg,"INSERT INTO store_image_temp VALUES ('112','109','https://mblogthumb-phinf.pstatic.net/MjAxNzEwMjBfMTU3/MDAxNTA4NDU1NzQ2OTEz.vpHTz5HlOPIZ63f4pVt3O2J23Yje1CSMdAdzyjZR-Gcg.W6PGcM5icSJk_xcvXeN7FFnzfZTDwRURUpnkMNLm9OUg.JPEG.wkdgytjs98/image_1490429261508455279715.jpg?type=w800','1'),('113','109','https://mblogthumb-phinf.pstatic.net/MjAxNzEwMjBfNDAg/MDAxNTA4NDU1NzQzNDA4.mnLrMIFA9YznLsJ8td4jSq6-sIg4lQd63yPJynk9I-Yg.VZ_hHoOKhAojE6VuohqEwMR2hmomCe6D8YM5h2STPUgg.JPEG.wkdgytjs98/image_7001098191508455279716.jpg?type=w800','1'),('114','109','https://media-cdn.tripadvisor.com/media/photo-s/11/bb/24/00/inside.jpg','1');"
109,115,116,117,110,에이큐브호텔,서울특별시 중구 을지로5가 274-1 석광빌딩,,,뷔페식,무슬림 프렌들리,02-2264-2888,07:00-10:00,연중무휴,O,"흥인지문, 동대문역사문화공원",1,https://pix10.agoda.net/hotelImages/116/1160686/1160686_16080812230045290997.jpg?s=1024x768,https://cf.bstatic.com/images/hotel/max1024x768/587/58769786.jpg,https://cf.bstatic.com/images/hotel/max1280x900/799/79976504.jpg,"INSERT INTO store_image_temp VALUES ('115','110','https://pix10.agoda.net/hotelImages/116/1160686/1160686_16080812230045290997.jpg?s=1024x768','1'),('116','110','https://cf.bstatic.com/images/hotel/max1024x768/587/58769786.jpg','1'),('117','110','https://cf.bstatic.com/images/hotel/max1280x900/799/79976504.jpg','1');"
110,118,119,120,111,춘자대구탕,서울특별시 마포구 서교동 375-5,385860,서울시 마포구 서교동 375-5,한식,무슬림 프렌들리,02-334-5787,11:00-22:00(브레이크 타임 15:00-17:00),매주 일요일,O,"홍대, 선유도공원",1,https://i.ytimg.com/vi/g7Qstw6sJpc/mqdefault.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201218095017168_photo_c68f5b678f9e.jpg,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200407122105_photo1_d731284cdd8a.jpg,"INSERT INTO store_image_temp VALUES ('118','111','https://i.ytimg.com/vi/g7Qstw6sJpc/mqdefault.jpg','1'),('119','111','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201218095017168_photo_c68f5b678f9e.jpg','1'),('120','111','https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/300_300_20200407122105_photo1_d731284cdd8a.jpg','1');"
111,121,122,123,112,포탈라레스토랑 종로점,서울특별시 종로구 관철동 35-2 수표교빌딩,,,인도음식,무슬림 프렌들리,02-318-0094,11:00-22:00,마지막 월요일,X,"종묘, 청계천",1,https://media-cdn.tripadvisor.com/media/photo-s/03/66/05/7b/getlstd-property-photo.jpg,https://modo-phinf.pstatic.net/20170517_113/1495016917579vO94i_JPEG/mosaoXUrV0.jpeg?type=round256_256,https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile3.uf.tistory.com%2Fimage%2F991F68365CF622D036F3E5,"INSERT INTO store_image_temp VALUES ('121','112','https://media-cdn.tripadvisor.com/media/photo-s/03/66/05/7b/getlstd-property-photo.jpg','1'),('122','112','https://modo-phinf.pstatic.net/20170517_113/1495016917579vO94i_JPEG/mosaoXUrV0.jpeg?type=round256_256','1'),('123','112','https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile3.uf.tistory.com%2Fimage%2F991F68365CF622D036F3E5','1');"
112,124,125,126,113,마칸레스토랑,서울특별시 용산구 한남동 763-23,,,한식,무슬림 자가 인증,02-6012-2231,10:30-22:00,매주 화요일,O,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/07/a0/c9/c8/makan-halal-korean-restaurant.jpg,https://i.imgur.com/i4oAzCw.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/a8/35/58/bulgogi.jpg,"INSERT INTO store_image_temp VALUES ('124','113','https://media-cdn.tripadvisor.com/media/photo-s/07/a0/c9/c8/makan-halal-korean-restaurant.jpg','1'),('125','113','https://i.imgur.com/i4oAzCw.jpg','1'),('126','113','https://media-cdn.tripadvisor.com/media/photo-s/0a/a8/35/58/bulgogi.jpg','1');"
113,127,128,129,114,바바인디아,서울특별시 서초구 서초동 1328-11 대우도씨에빛2,165645,서울특별시 서초구 서초2동 1328-11 대우 도시씨에빛2차 2층,인도음식,무슬림 프렌들리,02-521-4588,11:30-22:00,명절 당일,O,"강남역, 선정릉",1,https://media-cdn.tripadvisor.com/media/photo-s/1a/0d/4d/fb/caption.jpg,https://mblogthumb-phinf.pstatic.net/MjAyMDA1MTNfMjk0/MDAxNTg5MzAxNjU2NjU0.EuJA8_SUO0d_x-fEg7onWQavD7Tfelds5GiHn9E2P-Eg.P9Q-ii1MaL4JprjNprORVe5UgZKjy5SAoZuemBbn_1Qg.JPEG.lovemw3/%EA%B0%95%EB%82%A8%EB%B0%94%EB%B0%94%EC%9D%B8%EB%94%94%EC%95%84_(2).jpg?type=w800,https://t1.daumcdn.net/cfile/tistory/99E569495B55486C29,"INSERT INTO store_image_temp VALUES ('127','114','https://media-cdn.tripadvisor.com/media/photo-s/1a/0d/4d/fb/caption.jpg','1'),('128','114','https://mblogthumb-phinf.pstatic.net/MjAyMDA1MTNfMjk0/MDAxNTg5MzAxNjU2NjU0.EuJA8_SUO0d_x-fEg7onWQavD7Tfelds5GiHn9E2P-Eg.P9Q-ii1MaL4JprjNprORVe5UgZKjy5SAoZuemBbn_1Qg.JPEG.lovemw3/%EA%B0%95%EB%82%A8%EB%B0%94%EB%B0%94%EC%9D%B8%EB%94%94%EC%95%84_(2).jpg?type=w800','1'),('129','114','https://t1.daumcdn.net/cfile/tistory/99E569495B55486C29','1');"
114,130,131,132,115,이드,서울특별시 용산구 한남동 756-10,323434,서울특별시 용산구 한남동 756-10,한식,할랄 공식 인증,070-8889-8210,11:30-21:00,,O,"국립중앙박물관, 이태원 쇼핑거리",1,https://media-cdn.tripadvisor.com/media/photo-s/07/5d/3c/26/bulgogi-set.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/b3/aa/b1/eid-halal-korean-food.jpg,https://www.islaminkorea.net/images/ko/larg/2019-01/4031-%EC%9D%B4%EB%93%9C-islaminkorea.net.jpg,"INSERT INTO store_image_temp VALUES ('130','115','https://media-cdn.tripadvisor.com/media/photo-s/07/5d/3c/26/bulgogi-set.jpg','1'),('131','115','https://media-cdn.tripadvisor.com/media/photo-s/09/b3/aa/b1/eid-halal-korean-food.jpg','1'),('132','115','https://www.islaminkorea.net/images/ko/larg/2019-01/4031-%EC%9D%B4%EB%93%9C-islaminkorea.net.jpg','1');"
115,133,134,135,116,꾸스꾸스,서울특별시 종로구 체부동 95-1,58620,서울특별시 종로구 체부동 95-1,양식,무슬림 프렌들리,02-6357-5762,11:00-23:00,,X,"북촌한옥마을, 경복궁",1,https://www.menupan.com/restaurant/restimg/007/zzmenuimg/r10713766_z.jpg,https://img.siksinhot.com/place/1448862748816045.jpg,https://media-cdn.tripadvisor.com/media/photo-s/0a/bf/3a/fc/caption.jpg,"INSERT INTO store_image_temp VALUES ('133','116','https://www.menupan.com/restaurant/restimg/007/zzmenuimg/r10713766_z.jpg','1'),('134','116','https://img.siksinhot.com/place/1448862748816045.jpg','1'),('135','116','https://media-cdn.tripadvisor.com/media/photo-s/0a/bf/3a/fc/caption.jpg','1');"
116,136,137,138,117,파크카페 ,서울특별시 영등포구 여의도동 28-3 여의도파크센터,,,양식,무슬림 프렌들리,02-2090-8050,11:30-21:30,연중무휴,O,"IFC몰, 여의도공원",1,https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/fa/park-cafe.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/f8/park-cafe.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/fe/park-cafe-brunch-buffet.jpg,"INSERT INTO store_image_temp VALUES ('136','117','https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/fa/park-cafe.jpg','1'),('137','117','https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/f8/park-cafe.jpg','1'),('138','117','https://media-cdn.tripadvisor.com/media/photo-s/09/c3/44/fe/park-cafe-brunch-buffet.jpg','1');"
117,139,140,141,118,마리무슬림푸드,서울특별시 용산구 이태원동 140-6,,,아시아음식,무슬림 자가 인증,02-3785-1436,11:00-22:00,,X,"국립중앙박물관, 이태원 쇼핑거리",1,https://www.islaminkorea.net/images/ko/larg/2019-01/4069-%EB%A7%88%EB%A6%AC%EB%AC%B4%EC%8A%AC%EB%A6%BC%ED%91%B8%EB%93%9C-islaminkorea.net.jpg,https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile3.uf.tistory.com%2Fimage%2F224D2B425547AB920CD049,https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile21.uf.tistory.com%2Fimage%2F254D8C425547AB950C9C96,"INSERT INTO store_image_temp VALUES ('139','118','https://www.islaminkorea.net/images/ko/larg/2019-01/4069-%EB%A7%88%EB%A6%AC%EB%AC%B4%EC%8A%AC%EB%A6%BC%ED%91%B8%EB%93%9C-islaminkorea.net.jpg','1'),('140','118','https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile3.uf.tistory.com%2Fimage%2F224D2B425547AB920CD049','1'),('141','118','https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile21.uf.tistory.com%2Fimage%2F254D8C425547AB950C9C96','1');"
